Incident ID,Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
2415338,10-Sep-22,Tennessee,Mount Juliet,Glen Oaks Dr,1,0,N/A
2413063,11-Sep-22,Tennessee,Millington,5000 block of Clear Creek Dr,1,0,N/A
2413368,12-Sep-22,Virginia,Richmond,900 block of N 1st St,1,0,N/A
2413777,13-Sep-22,Michigan,Detroit,8800 block of Heyden St,1,0,N/A
2415825,14-Sep-22,Pennsylvania,Harrisburg,2100 block of Jefferson St,1,0,N/A
2415724,14-Sep-22,Ohio,Beachwood (Warrensville Heights),4000 block of Clarkwood Pkwy,1,0,N/A
2418295,16-Sep-22,Texas,Midland,I-20 and Loop 250,1,0,N/A
2416717,16-Sep-22,New Jersey,Maple Shade,300 block of S Coles Ave,1,0,N/A
2416715,16-Sep-22,New Jersey,Newark,200 block of Schley St,1,0,N/A
2416174,16-Sep-22,North Carolina,Raleigh,7700 Old Wake Forest Rd,1,0,N/A
